face_id,start_time,end_time,box_coordinates
face_0,0.0,1.0,"[1236.2828, 69.775085, 1799.8511, 1067.991]"
face_0,0.0,1.0,"[10.308838, 263.78613, 1918.1766, 1063.6283]"
face_0,1.0,2.0,"[1236.8914, 67.60785, 1801.6476, 1067.3207]"
face_0,1.0,2.0,"[16.190552, 256.69016, 1920.0, 1034.0712]"
face_0,2.0,3.0,"[1206.82, 64.80405, 1788.5442, 1066.8269]"
face_0,3.0,4.0,"[1211.9452, 67.802765, 1804.5707, 1066.9159]"
face_0,4.0,5.0,"[1216.7278, 79.071075, 1761.397, 1067.847]"
face_0,5.0,6.0,"[1211.146, 68.14096, 1774.4524, 1067.2405]"
face_0,6.0,7.0,"[1195.2118, 69.15857, 1800.5856, 1067.9675]"
face_0,6.0,7.0,"[7.303711, 10.63147, 1918.0269, 1047.674]"
face_0,7.0,8.0,"[1079.606, 602.4708, 1855.6437, 1069.5363]"
face_0,8.0,9.0,"[587.5988, 0.23794556, 1754.0607, 1068.902]"
face_0,8.0,9.0,"[212.66342, 96.88568, 663.3417, 1068.7354]"
face_0,9.0,10.0,"[214.74593, 93.52716, 653.5805, 1068.5883]"
face_0,9.0,10.0,"[586.75397, 33.961304, 1766.6514, 1069.752]"
face_0,10.0,11.0,"[209.95038, 90.85986, 653.6829, 1067.7363]"
face_0,10.0,11.0,"[584.69403, 121.61087, 1768.4993, 1068.8914]"
